A	A SP
AI	AI SP
AM	A M SP
AN	A N SP
ANG	A NG SP
ANH	A NH SP
AO	AO SP
AU	AU SP
B	B  SP
BA	B A SP
BAN	B A N SP
BANG	B A NG SP
BANH	B A NH SP
BAO	B AO SP
BAY	B AY SP
BE	B E SP
BEN	B E N SP
BENG	B E NG SP
BI	B I SP
BIA	B IA SP
BINH	B I NH SP
BIEEN	B IEE N SP
BIEENG	B IEE NG SP
BIEESC	B IEES C SP
BIEESM	B IEES M SP
BIEESN	B IEES N SP
BIEESNG	B IEES NG SP
BIEEST	B IEES T SP
BIEESU	B IEESU SP
BIEEFN	B IEEF N SP
BIEERN	B IEER N SP
BIEERU	B IEERU SP
BIEEJN	B IEEJ N SP
BIEEJT	B IEEJ T SP
BO	B O SP
BOA	B OA SP
BOM	B O M SP
BON	B O N SP
BONG	B O NG SP
BU	B U SP
BUNG	B U NG SP
BUOON	B UOO N SP
BUOONG	B UOO NG SP
BUYST	B UYS T SP
BUOOST	B UOOS T SP
BUOOFN	B UOOF N SP
BUOOFNG	B UOOF NG SP
BUOORI	B UOORI SP
BUOOJC	B UOOJ C SP
BAF	B AF SP
BAFI	B AFI SP
BAFN	B AF N SP
BAFNG	B AF NG SP
BAFNH	B AF NH SP
BAFO	B AFO SP
BAFU	B AFU SP
BAFY	B AFY SP
BAS	B AS SP
BASC	B AS C SP
BASCH	B AS CH SP
BASI	B ASI SP
BASM	B AS M SP
BASN	B AS N SP
BASNG	B AS NG SP
BASNH	B AS NH SP
BASO	B ASO SP
BAST	B AS T SP
BASU	B ASU SP
BAANG	B AA NG SP
BAAU	B AAU SP
BAAY	B AAY SP
BAX	B AX SP
BAXI	B AXI SP
BAXO	B AXO SP
BEF	B EF SP
BEFN	B EF N SP
BEFO	B EFO SP
BES	B ES SP
BESN	B ES N SP
BESNG	B ES NG SP
BESO	B ESO SP
BEST	B ES T SP
BEE	B EE SP
BEEN	B EE N SP
BEENH	B EE NH SP
BEEU	B EEU SP
BIF	B IF SP
BIFA	B IFA SP
BIFNH	B IF NH SP
BIFU	B IFU SP
BIS	B IS SP
BISCH	B IS CH SP
BISNH	B IS NH SP
BISU	B ISU SP
BOF	B OF SP
BOS	B OS SP
BOSC	B OS C SP
BOSI	B OSI SP
BOSN	B OS N SP
BOSNG	B OS NG SP
BOSP	B OS P SP
BOST	B OS T SP
BOOI	B OOI SP
BOONG	B OO NG SP
BOXM	B OX M SP
BOXNG	B OX NG SP
BUF	B UF SP
BUFA	B UFA SP
BUFI	B UFI SP
BUFN	B UF N SP
BUFNG	B UF NG SP
BUS	B US SP
BUSA	B USA SP
BUSN	B US N SP
BUSNG	B US NG SP
BUSP	B US P SP
BUST	B US T SP
BAWN	B AW N SP
BAWNG	B AW NG SP
BIXNH	B IX NH SP
BIXU	B IXU SP
BUXM	B UX M SP
BOW	B OW SP
BOWI	B OWI SP
BOWM	B OW M SP
BUWNG	B UW NG SP
BUWU	B UWU SP
BUWOWI	B UWOWI SP
BUWOWM	B UWOW M SP
BUWOWU	B UWOWU SP
BUWOWSC	B UWOWS C SP
BUWOWSNG	B UWOWS NG SP
BUWOWRI	B UWOWRI SP
BAJ	B AJ SP
BAJC	B AJ C SP
BAJCH	B AJ CH SP
BAJI	B AJI SP
BAJN	B AJ N SP
BAJO	B AJO SP
BAJT	B AJ T SP
BAR	B AR SP
BARN	B AR N SP
BARNG	B AR NG SP
BARNH	B AR NH SP
BARO	B ARO SP
BARY	B ARY SP
BAASC	B AAS C SP
BAASM	B AAS M SP
BAASP	B AAS P SP
BAAST	B AAS T SP
BAASU	B AASU SP
BAASY	B AASY SP
BAAFM	B AAF M SP
BAAFN	B AAF N SP
BAAFU	B AAFU SP
BAAFY	B AAFY SP
BAARM	B AAR M SP
BAARN	B AAR N SP
BAAXY	B AAXY SP
BAAJC	B AAJ C SP
BAAJN	B AAJ N SP
BAAJP	B AAJ P SP
BAAJT	B AAJ T SP
BAAJY	B AAJY SP
BAWSC	B AWS C SP
BAWSN	B AWS N SP
BAWSNG	B AWS NG SP
BAWSP	B AWS P SP
BAWST	B AWS T SP
BAWFM	B AWF M SP
BAWFNG	B AWF NG SP
BAWXNG	B AWX NG SP
BAWJM	B AWJ M SP
BAWJT	B AWJ T SP
BEJ	B EJ SP
BEJO	B EJO SP
BEJP	B EJ P SP
BEJT	B EJ T SP
BEXN	B EX N SP
BEES	B EES SP
BEESN	B EES N SP
BEESP	B EES P SP
BEEST	B EES T SP
BEEF	B EEF SP
BEEFN	B EEF N SP
BEEFNH	B EEF NH SP
BEEFU	B EEFU SP
BEER	B EER SP
BEEJ	B EEJ SP
BEEJCH	B EEJ CH SP
BEEJN	B EEJ N SP
BEEJNH	B EEJ NH SP
BEEJT	B EEJ T SP
BEEJU	B EEJU SP
BIR	B IR SP
BIRNH	B IR NH SP
BIRU	B IRU SP
BIJ	B IJ SP
BIJA	B IJA SP
