A	A SP
AI	AI SP
AM	A M SP
AN	A N SP
ANG	A NG SP
ANH	A NH SP
AO	AO SP
AU	AU SP
B	B  SP
BA	B A SP
BAN	B A N SP
BANG	B A NG SP
BANH	B A NH SP
BAO	B AO SP
BAY	B AY SP
BE	B E SP
BEN	B E N SP
BENG	B E NG SP
BI	B I SP
BIA	B IA SP
BINH	B I NH SP
BIÊN	B IÊ N SP
BIÊNG	B IÊ NG SP
BIẾC	B IẾ C SP
BIẾM	B IẾ M SP
BIẾN	B IẾ N SP
BIẾNG	B IẾ NG SP
BIẾT	B IẾ T SP
BIẾU	B IẾU SP
BIỀN	B IỀ N SP
BIỂN	B IỂ N SP
BIỂU	B IỂU SP
BIỆN	B IỆ N SP
BIỆT	B IỆ T SP
BO	B O SP
BOA	B OA SP
BOM	B O M SP
BON	B O N SP
BONG	B O NG SP
BU	B U SP
BUNG	B U NG SP
BUÔN	B UÔ N SP
BUÔNG	B UÔ NG SP
BUÝT	B UÝ T SP
BUỐT	B UỐ T SP
BUỒN	B UỒ N SP
BUỒNG	B UỒ NG SP
BUỔI	B UỔI SP
BUỘC	B UỘ C SP
BÀ	B À SP
BÀI	B ÀI SP
BÀN	B À N SP
BÀNG	B À NG SP
BÀNH	B À NH SP
BÀO	B ÀO SP
BÀU	B ÀU SP
BÀY	B ÀY SP
BÁ	B Á SP
BÁC	B Á C SP
BÁCH	B Á CH SP
BÁI	B ÁI SP
BÁM	B Á M SP
BÁN	B Á N SP
BÁNG	B Á NG SP
BÁNH	B Á NH SP
BÁO	B ÁO SP
BÁT	B Á T SP
BÁU	B ÁU SP
BÂNG	B Â NG SP
BÂU	B ÂU SP
BÂY	B ÂY SP
BÃ	B Ã SP
BÃI	B ÃI SP
BÃO	B ÃO SP
BÈ	B È SP
BÈN	B È N SP
BÈO	B ÈO SP
BÉ	B É SP
BÉN	B É N SP
BÉNG	B É NG SP
BÉO	B ÉO SP
BÉT	B É T SP
BÊ	B Ê SP
BÊN	B Ê N SP
BÊNH	B Ê NH SP
BÊU	B ÊU SP
BÌ	B Ì SP
BÌA	B ÌA SP
BÌNH	B Ì NH SP
BÌU	B ÌU SP
BÍ	B Í SP
BÍCH	B Í CH SP
BÍNH	B Í NH SP
BÍU	B ÍU SP
BÒ	B Ò SP
BÓ	B Ó SP
BÓC	B Ó C SP
BÓI	B ÓI SP
BÓN	B Ó N SP
BÓNG	B Ó NG SP
BÓP	B Ó P SP
BÓT	B Ó T SP
BÔI	B ÔI SP
BÔNG	B Ô NG SP
BÕM	B Õ M SP
BÕNG	B Õ NG SP
BÙ	B Ù SP
BÙA	B ÙA SP
BÙI	B ÙI SP
BÙN	B Ù N SP
BÙNG	B Ù NG SP
BÚ	B Ú SP
BÚA	B ÚA SP
BÚN	B Ú N SP
BÚNG	B Ú NG SP
BÚP	B Ú P SP
BÚT	B Ú T SP
BĂN	B Ă N SP
BĂNG	B Ă NG SP
BĨNH	B Ĩ NH SP
BĨU	B ĨU SP
BŨM	B Ũ M SP
BƠ	B Ơ SP
BƠI	B ƠI SP
BƠM	B Ơ M SP
BƯNG	B Ư NG SP
BƯU	B ƯU SP
BƯƠI	B ƯƠI SP
BƯƠM	B ƯƠ M SP
BƯƠU	B ƯƠU SP
BƯỚC	B ƯỚ C SP
BƯỚNG	B ƯỚ NG SP
BƯỞI	B ƯỞI SP
BẠ	B Ạ SP
BẠC	B Ạ C SP
BẠCH	B Ạ CH SP
BẠI	B ẠI SP
BẠN	B Ạ N SP
BẠO	B ẠO SP
BẠT	B Ạ T SP
BẢ	B Ả SP
BẢN	B Ả N SP
BẢNG	B Ả NG SP
BẢNH	B Ả NH SP
BẢO	B ẢO SP
BẢY	B ẢY SP
BẤC	B Ấ C SP
BẤM	B Ấ M SP
BẤP	B Ấ P SP
BẤT	B Ấ T SP
BẤU	B ẤU SP
BẤY	B ẤY SP
BẦM	B Ầ M SP
BẦN	B Ầ N SP
BẦU	B ẦU SP
BẦY	B ẦY SP
BẨM	B Ẩ M SP
BẨN	B Ẩ N SP
BẪY	B ẪY SP
BẬC	B Ậ C SP
BẬN	B Ậ N SP
BẬP	B Ậ P SP
BẬT	B Ậ T SP
BẬY	B ẬY SP
BẮC	B Ắ C SP
BẮN	B Ắ N SP
BẮNG	B Ắ NG SP
BẮP	B Ắ P SP
BẮT	B Ắ T SP
BẰM	B Ằ M SP
BẰNG	B Ằ NG SP
BẴNG	B Ẵ NG SP
BẶM	B Ặ M SP
BẶT	B Ặ T SP
BẸ	B Ẹ SP
BẸO	B ẸO SP
BẸP	B Ẹ P SP
BẸT	B Ẹ T SP
BẼN	B Ẽ N SP
BẾ	B Ế SP
BẾN	B Ế N SP
BẾP	B Ế P SP
BẾT	B Ế T SP
BỀ	B Ề SP
BỀN	B Ề N SP
BỀNH	B Ề NH SP
BỀU	B ỀU SP
BỂ	B Ể SP
BỆ	B Ệ SP
